Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"SODIMONT","348298662","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","100 AVENUE MARECHAL LECLERC 71300 MONTCEAU-LES-MINES","71300","71","27","32","7","2024",77606596
"SOTUNDIS","448848507","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","36 RUE DE LA CROIX BLANCHE 71400 AUTUN","71400","71","27","31","4","2017",62797371
"METSO FRANCE SAS","685550444","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","41 RUE DE LA REPUBLIQUE 71000 MACON","71000","71","27","32","9","2024",144061807
"ECKES GRANINI FRANCE SNC","440018059","","46.34Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","138 RUE LAVOISIER 71000 MACON","71000","71","27","32","8","2025",179155599
"LUXDIS","451549349","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","RTE DE LYON 71100 LUX","71100","71","27","31","5","2025",73982976
"SAINT-GOBAIN SEVA","329073282","","25.62B","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","43 RUE DU PONT DE FER 71100 CHALON-SUR-SAONE","71100","71","27","32","2","2024",72726796
"SOFIPAR","337515936","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","PARC D'ACTIVITE ZAC DU CHAMP BOSSU 71600 PARAY-LE-MONIAL","71600","71","27","31","3","2024",93617379
"REGILAIT","349113662","","10.51D","Manufacturing","Manufacturing: Food, Beverages and Tobacco","102 ROUTE DEPARTEMENTALE 906 71118 SAINT-MARTIN-BELLE-ROCHE","71118","71","27","31","3","2024",173871184
"POLYCLINIQUE DU VAL DE SAONE","378417729","","86.10Z","Human health and social work activities","Human Health and Social Work","44 RUE AMBROISE PARE 71000 MACON","71000","71","27","31","3","2024",26183734
"GUILLOT COBREDA","381354000","","10.12Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","LD LA CROIX BOUILLOUD 71290 CUISERY","71290","71","27","22","2","2024",37276441
"CHALONDIS","519585137","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZONE INDUSTRIELLE NORD 6 RUE PAUL SABATIER 71100 CHALON-SUR-SAONE","71100","71","27","31","2","2024",74974453
"SCHNEIDER ELECTRIC ENERGY FRANCE","511746356","","27.12Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","381 BOULEVARD DE LA RESISTANCE 71000 MACON","71000","71","27","32","58","2024",153441805
"PALMI D'OR BOURGOGNE","327529178","","10.12Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","230 ROUTE LA TRAMBLYRONNE 71520 TRAMBLY","71520","71","27","31","1","2024",48353599
"DAUNAT BOURGOGNE","420990491","","10.89Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","ZONE DES FOSSES BLANCHES 71100 SEVREY","71100","71","27","32","2","2022",61111760
"LE BREUIL INVEST","410509806","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","2 AVENUE DE CHAMBREUIL 71670 LE BREUIL","71670","71","27","32","4","2024",75046969
"BERRY SUPERFOS LA GENETE (BERRY SUPERFOS)","344514591","","22.22Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","LA GENETE HAM DE VEILLY 71290 LA GENETE","71290","71","27","31","3","2024",134193697
"MASSILLY FRANCE","403585458","","25.92Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","389 RUE PIERRE BINDSCHEDLER 71250 MASSILLY","71250","71","27","32","3","2024",142298127
"ALBEA SIMANDRE","342438785","","22.22Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","ZONE INDUSTRIELLE 71290 SIMANDRE","71290","71","27","31","5","2024",38592654
"LDC BOURGOGNE","310391503","","10.12Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","ZONE INDUSTRIELLE ZONE INDUSTRIELLE BRANGES 71500 BRANGES","71500","71","27","41","1","2024",128369112
"THERMODYN","428764682","","33.12Z","Manufacturing","Manufacturing: Furniture and Other","480 ALLEE GUSTAVE EIFFEL 71200 LE CREUSOT","71200","71","27","32","5","2023",121632045
"SOCIETE FRANCAISE GARDY","552034951","","27.12Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","CENTRE D ACTIVITE DES BLET 71530 CHAMPFORGEUIL","71530","71","27","32","1","2023",87476059
"DS SMITH PACKAGING CHALON","725620736","","82.92Z","Administrative and support service activities","Administrative and Support","ZONE CHALON NORD 5 RUE COLBERT 71100 CHALON-SUR-SAONE","71100","71","27","31","2","2024",94892516
"HOPITAL PRIVE SAINTE MARIE CHALON","726920374","","86.10Z","Human health and social work activities","Human Health and Social Work","4 ALLEE DE SAINT JEAN DES VIGNES 71100 CHALON-SUR-SAONE","71100","71","27","32","3","2024",39050723
"DOMINIQUE PRUDENT","657150074","","49.41B","Transportation and storage","Transportation and Storage","LD BOIS DE CHIZE 71500 BRANGES","71500","71","27","32","1","2024",30114810
"WATTS HYDRAULICS - SOCLA","950003061","","28.14Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","365 RUE DU LIEUTENANT PUTIER 71530 VIREY-LE-GRAND","71530","71","27","31","9","2024",51627931
"MAZAGRAN SERVICE","416220010","","47.11D","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZI RUE DE L'ETANG 89200 AVALLON","89200","89","27","03","142","2024",545610112
