Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"EVERIAL","350553863","","52.10B","Transportation and storage","Transportation and Storage","1691 AVENUE DE L'HIPPODROME 69140 RILLIEUX-LA-PAPE","69140","69","84","22","40","2024",41615534
"AKKODIS DIGITAL SAS (MODIS AKKODIS)","353150261","","62.02A","Information and communication","Information Technology and Services","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","NN","53","2024",229141942
"BIOMERIEUX SA (BIOMERIEUX)","673620399","","20.59Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","376 CHEMIN DE L'ORME 69280 MARCY-L'ETOILE","69280","69","84","42","20","2024",3979900000
"AKKODIS FRANCE SAS (AKKODIS)","391136108","","82.99Z","Administrative and support service activities","Administrative and Support","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","NN","32","2024",175883882
"LINDE FRANCE (AGA MEDICAL SA - LINDE HEALTHCARE - LINDE GAS)","392631248","","20.11Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","LES JARDINS DU LOU BATIMENT 5 70 AVENUE TONY GARNIER 69007 LYON","69007","69","84","21","36","2024",351656206
"E 2 S","408468213","","43.22B","Construction","Construction","15 A AVENUE ALBERT EINSTEIN 69100 VILLEURBANNE","69100","69","84","11","28","2024",46415960
"CENTRAL AUTOS (GROUPE CENTRAL AUTOS)","780096376","","45.11Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","49 B BOULEVARD LUCIEN SAMPAIX 69190 SAINT-FONS","69190","69","84","21","15","2024",157197668
"GVA BYMYCAR LYON (BY MY CAR)","398458752","","45.11Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","65 RUE DU SOUVENIR 69009 LYON","69009","69","84","22","18","2024",418520957
"ORONA","430243857","","43.29B","Construction","Construction","LE PARC DES SAULES 52 AVENUE JEAN JAURES 69600 OULLINS-PIERRE-BENITE","69600","69","84","21","21","2024",62564903
"EIFFAGE ENERGIE SYSTEMES - CLEVIA CENTRE EST","518137864","","43.21A","Construction","Construction","10 BOULEVARD MARCEL DASSAULT 69330 JONAGE","69330","69","84","32","20","2024",164097915
