Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"JTEKT EUROPE","967505967","","29.32Z","Manufacturing","Manufacturing: Transport Equipment","ZONE INDUSTRIELLE RUE DU BROTEAU 69540 IRIGNY","69540","69","84","42","7","2024",850033000
"S T E E P","969509892","","29.32Z","Manufacturing","Manufacturing: Transport Equipment","3 CHEMIN DU PILON 01700 SAINT-MAURICE-DE-BEYNOST","01700","01","84","31","2","2024",58998624
"PERRENOT BEKAERT","532582541","","49.41A","Transportation and storage","Transportation and Storage","CS 30014 335 AVENUE RAYMOND PAVON 26260 SAINT-DONAT-SUR-L'HERBASSE","26260","26","84","NN","4","2024",24581034
"CHLORIDE","712035401","","27.90Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","30 AVENUE DES FRERES MONTGOLFIER 69680 CHASSIEU","69680","69","84","32","5","2024",77194486
"FINORGA","662019322","","20.14Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","ROUTE DE GIVORS 38670 CHASSE-SUR-RHONE","38670","38","84","32","5","2024",89635751
"CROUZET","663820413","","27.33Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","10 RUE DOCTEUR HENRI ABEL 26000 VALENCE","26000","26","84","32","16","2024",215428470
"GERAL CONSTRUCT ELECTR ET TRAVAUX INDUST (GERAL)","547020040","","26.12Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ZONE INDUSTRIELLE LA PELISSIERE ROUTE DE LYON 01300 BELLEY","01300","01","84","32","3","2024",61192878
"ENTREPRISE MARQUET","779104082","","42.11Z","Construction","Construction","1 ZI LA FLORIZANE 15100 SAINT FLOUR","15100","15","84","22","4","2024",33988907
"MARKEM-IMAJE INDUSTRIES","789216702","","28.99A","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","9 RUE GASPARD MONGE 26500 BOURG-LES-VALENCE","26500","26","84","41","4","2024",70663360
"BAYARD","316222595","","28.14Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ZONE INDUSTRIELLE 4 AVENUE LIONEL TERRAY 69330 MEYZIEU","69330","69","84","31","12","2025",93510928
"CLINIQUE IRIS-MARCY L'ETOILE","972500508","","86.10Z","Human health and social work activities","Human Health and Social Work","271 RUE DES SOURCES 69280 MARCY-L'ETOILE","69280","69","84","22","4","2024",31020693
"NIGAY SAS","885550418","","10.89Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","ZI LA GARE LA FECULERIE 42110 FEURS","42110","42","84","32","2","2023",143705358
"VERKOR","888047792","","27.20Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","2-4 2 RUE CHARLES BERTIER 38000 GRENOBLE","38000","38","84","32","4","2024",27238099
"ELORA","340416312","","47.99A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","590 ALLEE DES HETRES 69760 LIMONEST","69760","69","84","11","11","2024",30899165
"BFF","350326484","","10.39A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","38 RUE DE L’AVENIR 69740 GENAS","69740","69","84","22","7","2023",107646776
"VALMONT FRANCE","351425921","","25.11Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","LES MARTOULETS 03110 CHARMEIL","03110","03","84","31","3","2024",50271353
"STMICROELECTRONICS (CROLLES 2) SAS","399395581","","26.11Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","850 RUE JEAN MONNET 38920 CROLLES","38920","38","84","51","4","2024",1617407103
"CHEDDITE FRANCE","319200721","","25.40Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","99 AVENUE DE LYON 26500 BOURG-LES-VALENCE","26500","26","84","22","3","2024",85567490
"CONTITECH ANOFLEX SNC","410279533","","22.19Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","2-12 2 AVENUE BARTHELEMY THIMONNIER 69300 CALUIRE-ET-CUIRE","69300","69","84","32","8","2024",74834070
"CLINIQUE GENERALE (CLINIQUE GENERALE ANNECY VIVALTO SANTE)","407658087","","86.10Z","Human health and social work activities","Human Health and Social Work","4 CHE DE LA TOUR LA REINE 74000 ANNECY","74000","74","84","32","3","2024",43024947
"HAUPT PHARMA LIVRON","407710268","","21.20Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","1 RUE COMTE DE SINARD 26250 LIVRON-SUR-DROME","26250","26","84","31","3","2024",26989792
"GLV VEV","947952487","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","13 RUE SAINT FULBERT 69008 LYON","69008","69","84","NN","2","2024",83113572
"EURONEWS (EURONEWS) (EURONEWS)","387858046","","60.20B","Information and communication","Communication: Media and Publishing","56 QUAI RAMBAUD 69002 LYON","69002","69","84","32","3","2024",58263909
"SA ESKER (ESKER)","331518498","","58.29C","Information and communication","Communication: Media and Publishing","113 BOULEVARD DE LA BATAILLE DE STALINGRAD 69100 VILLEURBANNE","69100","69","84","32","7","2023",178554000
